gene_symbol,cluster,up_features,down_features,phenotypic_strength
ILF3,121,"interphase_nucleus_area,interphase_cell_correlation_dapi_tubulin,interphase_cell_area","interphase_nucleus_dapi_mean,interphase_cell_tubulin_mean",2319/5299
KEAP1,121,"interphase_nucleus_area,interphase_cell_area,interphase_nucleus_eccentricity,interphase_cell_correlation_dapi_tubulin","interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mean,interphase_nucleus_correlation_dapi_gh2ax",1906/5299
MAX,121,"interphase_cell_area,interphase_nucleus_area,interphase_nucleus_eccentricity","interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_phalloidin_mean",3538/5299
MEMO1,121,,"interphase_nucleus_form_factor,interphase_cell_tubulin_mean,interphase_nucleus_solidity",3780/5299
MYC,121,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_eccentricity,interphase_cell_dapi_mass_displacement,interphase_cell_area","interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor",2043/5299
N6AMT1,121,interphase_cell_correlation_dapi_tubulin,"interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_dapi_mean",2768/5299
POU5F1B,121,"interphase_cell_area,interphase_nucleus_area,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_eccentricity","interphase_nucleus_dapi_mean,interphase_nucleus_form_factor,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_solidity",2439/5299
RAB11FIP4,121,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_solidity,interphase_nucleus_dapi_mean,interphase_nucleus_form_factor",2553/5299
SETD2,121,"interphase_cell_correlation_dapi_tubulin,interphase_cell_area,interphase_nucleus_area","interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_correlation_dapi_gh2ax",2421/5299
SLC38A2,121,"interphase_cell_correlation_dapi_tubulin,interphase_cell_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_gh2ax_mean",2521/5299
SON,121,"interphase_nucleus_area,interphase_cell_area,interphase_cell_correlation_dapi_tubulin","interphase_nucleus_dapi_mean,interphase_nucleus_form_factor",2109/5299
SP2,121,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_area,interphase_cell_area","interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_cell_tubulin_mass_displacement,interphase_nucleus_correlation_dapi_gh2ax",2093/5299
SPAG5,121,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean","interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_correlation_dapi_gh2ax",1807/5299
ZBTB11,121,"interphase_cell_area,interphase_nucleus_area","interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_tubulin_mean,interphase_nucleus_gh2ax_mean,interphase_cell_tubulin_mass_displacement,interphase_nucleus_dapi_int",3460/5299
ZMYND8,121,interphase_cell_correlation_dapi_tubulin,"interphase_nucleus_dapi_mean,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_correlation_dapi_gh2ax",2550/5299
ATP5ME,149,interphase_cell_phalloidin_mean,,4004/5299
BRAF,149,,,4747/5299
CYC1,149,interphase_cell_phalloidin_mean,,3731/5299
