gene_symbol,cluster
AAGAB,2067
AGFG1,2067
AP2A1,2067
AP2A2,2067
AP2B1,2067
AP2M1,2067
AP2S1,2067
C15orf57,2067
FCHO2,2067
PICALM,2067
AGPS,2213
EPT1,2213
FAR1,2213
GNPAT,2213
PCYT2,2213
PEX7,2213
SEC14L1,2213
TMEM189,2213
